"","Tag","Count"
"430","plastic",1104
"408","paper",600
"625","wrapper",492
"146","cup",241
"49","bottle",187
"29","bag",167
"100","cigarette",167
"68","candy",148
"66","can",139
"13","aluminum",137
"516","soda",129
"346","mcdonalds",119
"319","lid",101
"196","fastfood",96
"538","styrofoam",90
"10","alcohol",85
"51","box",80
"534","straw",77
"166","drink",74
"463","receipt",74
"41","beer",70
"236","glass",55
"446","portillos",54
"605","water",52
"75","cardboard",50
"310","label",50
"484","sauce",50
"511","snack",50
"63","butt",47
"353","metal",44
"128","container",43
"551","tacobell",43
"211","flyer",41
"398","packaging",38
"384","newport",36
"71","cap",34
"115","coffee",34
"246","gum",34
"76","cardinalwinespirits",33
"213","foil",33
"478","sachet",31
"340","marlboro",30
"83","celluloseacetate",29
"609","wendys",26
"175","dunkindonuts",24
"604","walmart",22
"98","chips",21
"362","modelo",21
"514","snickers",21
"426","piece",20
"627","wrigleys",19
"469","retailmenot",18
"529","starbucks",18
"633","ziplock",18
"62","burgerking",17
"163","donuts",17
"173","dunkin",17
"291","juice",17
"375","napkin",17
"492","sheet",17
"547","swishersweets",17
"468","reeses",16
"276","icemountain",15
"50","bottlecap",14
"89","cheetos",14
"164","doritos",14
"329","lottery",14
"574","tonys",14
"137","coupons",13
"168","drugs",13
"297","ketchup",13
"543","supermarket",13
"94","chickfila",12
"99","cigar",12
"424","pepsi",12
"443","popeyes",12
"564","ticket",12
"305","kitkat",11
"314","laundry",11
"381","nestle",11
"569","tissue",11
"606","waterbottle",11
"61","burger",10
"69","candywrapper",10
"302","king",10
"357","miller",10
"436","plasticlid",10
"12","aluminium",9
"21","arizona",9
"60","budweiser",9
"102","cigarettebutt",9
"120","coke",9
"231","gatorade",9
"438","plasticwrapper",9
"555","tape",9
"614","whitecastle",9
"5","advertising",8
"77","Cardinalwinespirits",8
"79","carryout",8
"133","corona",8
"161","dollartree",8
"363","monaco",8
"404","pallmall",8
"450","pouch",8
"520","solo",8
"531","stella",8
"589","twix",8
"22","artois",7
"81","castle",7
"136","coupon",7
"226","gambling",7
"261","hersheys",7
"295","junkmail",7
"399","packet",7
"409","paperbag",7
"465","redbull",7
"467","redplum",7
"562","thorntons",7
"601","vodka",7
"613","white",7
"114","cocacola",6
"144","culvers",6
"150","decoration",6
"212","foam",6
"214","food",6
"300","kfc",6
"315","lays",6
"333","m&m",6
"439","plate",6
"475","rubber",6
"476","rubberband",6
"528","sprite",6
"530","starburst",6
"539","subway",6
"552","tag",6
"571","tobacco",6
"580","toy",6
"59","budlight",5
"127","construction",5
"172","dumdums",5
"202","fireball",5
"238","glove",5
"247","gumwrapper",5
"268","hostess",5
"356","milkyway",5
"369","mountaindew",5
"411","papercup",5
"414","papertowel",5
"422","pen",5
"431","plasticbag",5
"432","plasticbottle",5
"504","skittles",5
"526","spoon",5
"563","thread",5
"576","tootsieroll",5
"1","7",4
"18","aquafina",4
"28","bacardi",4
"35","bandaid",4
"37","baskinrobbins",4
"65","camel",4
"72","caprisun",4
"101","cigarettebox",4
"116","coffeecup",4
"149","cvs",4
"176","dutch",4
"249","halloween",4
"264","holder",4
"269","hot",4
"273","icecream",4
"281","insulation",4
"298","ketchuppacket",4
"326","livingfresh",4
"337","mandm",4
"361","miscellaneous",4
"419","payday",4
"473","roofing",4
"497","shopping",4
"515","sock",4
"583","trident",4
"593","up",4
"603","walgreens",4
"618","wine",4
"3","7eleven",3
"4","7up",3
"11","almondjoy",3
"33","balloon",3
"36","bank",3
"58","budice",3
"64","butterfinger",3
"74","card",3
"85","chase",3
"91","chesters",3
"148","cutlery",3
"167","drpepper",3
"194","fabric",3
"201","filter",3
"216","fork",3
"220","fritos",3
"228","garden",3
"233","georgesconcrete",3
"244","grocery",3
"275","icehouse",3
"292","juicebox",3
"294","junkfood",3
"296","kellogs",3
"303","kirkland",3
"311","lacroix",3
"320","lighter",3
"359","minutemaid",3
"372","musketeers",3
"377","naturevalley",3
"385","newspaper",3
"412","papernapkin",3
"420","peanut",3
"429","plant",3
"535","strawwrapper",3
"536","string",3
"540","sugar",3
"546","svedka",3
"558","tea",3
"577","tootsierolls",3
"578","top",3
"608","welchs",3
"622","wood",3
"7","airheads",2
"26","atm",2
"39","becks",2
"40","beefjerky",2
"48","bootie",2
"52","bracelet",2
"67","canadadry",2
"86","checkers",2
"92","chexmix",2
"93","chick-fil-a",2
"103","cigarettepack",2
"118","cognac",2
"125","comb",2
"129","cookie",2
"132","cornerstone",2
"134","cotton",2
"135","cottonbud",2
"143","crystalcarwash",2
"156","detergent",2
"157","diaper",2
"169","dryer",2
"174","dunkindonnuts",2
"179","easter",2
"193","eye",2
"208","flossing",2
"210","fluid",2
"217","freshthyme",2
"221","frooties",2
"224","fruity",2
"237","glassbottle",2
"248","hair",2
"255","hat",2
"257","heineken",2
"265","homecityice",2
"266","homedepot",2
"270","ice",2
"271","icebreakers",2
"274","iced",2
"277","icetea",2
"285","jewel",2
"286","jewelosco",2
"290","jug",2
"306","knife",2
"309","kroger",2
"312","laffytaffy",2
"316","leather",2
"328","lotion",2
"332","luckydog",2
"335","mail",2
"338","mandms",2
"342","mask",2
"348","medication",2
"351","menards",2
"355","milk",2
"365","monster",2
"371","muffin",2
"380","nerf",2
"415","papertowell",2
"418","pastry",2
"423","pencil",2
"435","plasticcup",2
"437","plasticstraw",2
"442","popcorn",2
"453","protection",2
"454","psper",2
"477","ruffles",2
"479","salem",2
"493","shell",2
"510","smirnoff",2
"517","soft",2
"521","sourpatch",2
"524","splenda",2
"525","sponge",2
"527","spraynozzle",2
"532","stick",2
"533","sticker",2
"542","sunkist",2
"545","sutterhome",2
"553","takis",2
"556","tar",2
"557","target",2
"566","tie",2
"575","tool",2
"579","towel",2
"584","trolli",2
"586","tube",2
"588","twist",2
"600","vitners",2
"615","whiteowl",2
"617","windshield",2
"624","wrap",2
"626","wrapping",2
"628","xfinity",2
"2","711",1
"6","aerosol",1
"8","airpillows",1
"9","alcoh",1
"14","american",1
"15","americanspirit",1
"16","anthonyspizza",1
"17","apple",1
"19","arby's",1
"20","arbys",1
"23","artos",1
"24","ashleyhomestore",1
"25","asphalt",1
"27","aura",1
"30","bagsfull!",1
"31","bakersharvest",1
"32","ball",1
"34","banana",1
"38","bayer",1
"42","bestbuy",1
"43","bestice",1
"44","bill",1
"45","blackplasticbag",1
"46","bone",1
"47","book",1
"53","brisk",1
"54","bubblegum",1
"55","bubblewrap",1
"56","bublewrap",1
"57","bucket",1
"70","cane",1
"73","car",1
"78","carmex",1
"80","caseysgeneralstore",1
"82","caulk",1
"84","chapstick",1
"87","cheese",1
"88","cheeseheads",1
"90","cheezit",1
"95","chill",1
"96","chip",1
"97","chipotle",1
"104","cigars",1
"105","clamshell",1
"106","cleaningwipe",1
"107","clearfruit",1
"108","clif",1
"109","cliffbar",1
"110","clip",1
"111","cloth",1
"112","clothing",1
"113","cloverhill",1
"117","coffeesleeve",1
"119","coin",1
"121","coldcuplid",1
"122","coldriver",1
"123","coldwellbanker",1
"124","colt",1
"126","condom",1
"130","cooking",1
"131","coors",1
"138","crackers",1
"139","crayon",1
"140","crazycowboy",1
"141","crunchycurls",1
"142","crush",1
"145","culvert",1
"147","curad",1
"151","delistreet",1
"152","demets",1
"153","dennys",1
"154","dental",1
"155","dessicant",1
"158","dinicos",1
"159","disney",1
"160","dissecant",1
"162","dominospizza",1
"165","dove",1
"170","dryersheet",1
"171","ducttape",1
"177","earing",1
"178","earplug",1
"180","edsway",1
"181","eggcarton",1
"182","electronic",1
"183","electronics",1
"184","energydrink",1
"185","envelope",1
"186","equate",1
"187","essential",1
"188","essentialeveryday",1
"189","everyday",1
"190","evian",1
"191","extensions",1
"192","extra",1
"195","fanta",1
"197","fence",1
"198","fiberglass",1
"199","fiji",1
"200","film",1
"203","firework",1
"204","firstaid",1
"205","flag",1
"206","flents",1
"207","floss",1
"209","flower",1
"215","foodwrapper",1
"218","fries",1
"219","fritolay",1
"222","fruit",1
"223","fruitsnacks",1
"225","funyuns",1
"227","garbage",1
"229","garrett",1
"230","gasdepot",1
"232","gauze",1
"234","gift",1
"235","giftwrap",1
"239","gnc",1
"240","gogurt",1
"241","goldfish",1
"242","goodday",1
"243","granolabar",1
"245","gulp",1
"250","handymantrash",1
"251","hanger",1
"252","happymeal",1
"253","hardware",1
"254","haribo",1
"256","hawaiianbread",1
"258","hennessy",1
"259","hennesy",1
"260","hershey's",1
"262","highlighter",1
"263","hilton",1
"267","hook",1
"272","icecity",1
"278","ihop",1
"279","innertube",1
"280","inostacos",1
"282","ipod",1
"283","jamba",1
"284","jays",1
"287","jims",1
"288","jollyrancher",1
"289","josecuervo",1
"293","junk",1
"299","kettle",1
"301","kind",1
"304","kisses",1
"307","knive",1
"308","kool",1
"313","lagunitas",1
"317","lemonhead",1
"318","lewisbakers",1
"321","lite",1
"322","littlebites",1
"323","littlecaesars",1
"324","littledebbie",1
"325","livingfresg",1
"327","loan",1
"330","lotteryticket",1
"331","lucky",1
"334","maid",1
"336","mall",1
"339","map",1
"341","marshalls",1
"343","matches",1
"344","material",1
"345","mayonnaise",1
"347","meat",1
"349","medicine",1
"350","meijer",1
"352","mesh",1
"354","mikemilk",1
"358","minute",1
"360","mirror",1
"364","monopoly",1
"366","moonpie",1
"367","motrin",1
"368","motts",1
"370","mrsfields",1
"373","nail",1
"374","nametag",1
"376","naturesbakery",1
"378","necklace",1
"379","nerds",1
"382","netting",1
"383","newamsterdam",1
"386","newtons",1
"387","nicotine",1
"388","oberweiss",1
"389","oil",1
"390","ointment",1
"391","orangecrush",1
"392","oreilly",1
"393","ortiz",1
"394","pabst",1
"395","pabstblueribbon",1
"396","pack",1
"397","package",1
"400","packing",1
"401","packwoods",1
"402","paint",1
"403","pall",1
"405","pan",1
"406","panera",1
"407","pantiehose",1
"410","papercarton",1
"413","paperplate",1
"416","paperwrapper",1
"417","parliament",1
"421","peladow",1
"425","petco",1
"427","pills",1
"428","pin",1
"433","plasticcap",1
"434","plasticcontainer",1
"440","pncbank",1
"441","poo",1
"444","poprocks",1
"445","poptart",1
"447","posh",1
"448","postit",1
"449","potato",1
"451","powerbar",1
"452","pringles",1
"455","pure",1
"456","pureau",1
"457","pureleaf",1
"458","purr",1
"459","quiznos",1
"460","raffles",1
"461","raising",1
"462","rc",1
"464","redband",1
"466","redeye",1
"470","ribbon",1
"471","ring",1
"472","ronnoco",1
"474","ross",1
"480","salernos",1
"481","sanitarynapkin",1
"482","sanitizer",1
"483","sarpinos",1
"485","sauza",1
"486","schweppes",1
"487","scotch",1
"488","screw",1
"489","seagrams",1
"490","seatbelt",1
"491","serviceware",1
"494","shingle",1
"495","shoelace",1
"496","shop",1
"498","sign",1
"499","silica",1
"500","silicapacket",1
"501","silk",1
"502","simplylemonade",1
"503","simplylight",1
"505","skol",1
"506","slims",1
"507","slurpee",1
"508","smartfood",1
"509","smarties",1
"512","snackfactory",1
"513","snapple",1
"518","softchewy",1
"519","softener",1
"522","souza",1
"523","spirited",1
"537","stuffing",1
"541","sun",1
"544","superstore",1
"548","syringe",1
"549","tab",1
"550","tack",1
"554","tampon",1
"559","tequila",1
"560","thecolonel",1
"561","thornton",1
"565","tide",1
"567","timhortons",1
"568","tinfoil",1
"570","tmobile",1
"572","toiletpaper",1
"573","tonyâ€™s",1
"581","traderjoes",1
"582","tray",1
"585","tub",1
"587","tulsi",1
"590","two",1
"591","ubereats",1
"592","untagged",1
"594","ups",1
"595","utz",1
"596","ventra",1
"597","viagra",1
"598","vinyl",1
"599","virgina",1
"602","voss",1
"607","waxpaper",1
"610","wet",1
"611","wetwipe",1
"612","whiskey",1
"616","whoppers",1
"619","wingstop",1
"620","wipe",1
"621","wipes",1
"623","wool",1
"629","yarn",1
"630","yogurt",1
"631","zantac",1
"632","zest",1
